"V1","V2","V3","pheno","mod","tissue"
"GO:0065010","extracellular membrane-bounded organelle","2134","mean_H2Omg","blue","gi"
"GO:0043230","extracellular organelle","2134","mean_H2Omg","blue","gi"
"GO:0043227","membrane-bounded organelle","15671","mean_H2Omg","blue","gi"
"GO:0008219","cell death","1988","mean_H2Omg","midnightblue","gi"
"GO:0009056","catabolic process","2556","mean_H2Omg","midnightblue","gi"
"GO:0006793","phosphorus metabolic process","2596","mean_RQ","black","gi"
"GO:0051641","cellular localization","3621","mean_RQ","black","gi"
"GO:0051171","regulation of nitrogen compound metabolic process","5440","mean_H2Omg","brown","gi"
"GO:0005654","nucleoplasm","4220","mean_H2Omg","brown","gi"
"GO:0042995","cell projection","2389","mean_H2Omg","brown","gi"
"GO:0030334","regulation of cell migration","934","mean_H2Omg","turquoise","gi"
"GO:0098916","anterograde trans-synaptic signaling","750","mean_H2Omg","turquoise","gi"
"GO:0007268","chemical synaptic transmission","750","mean_H2Omg","turquoise","gi"
"GO:0043227","membrane-bounded organelle","15671","mean_RQ","green","gi"
"GO:0050778","positive regulation of immune response","718","mean_H2Omg","greenyellow","gi"
"GO:0009605","response to external stimulus","2723","mean_H2Omg","greenyellow","gi"
"GO:0042221","response to chemical","3957","mean_H2Omg","greenyellow","gi"
"GO:0030334","regulation of cell migration","934","mean_H2Omg","greenyellow","gi"
"GO:0005654","nucleoplasm","4220","mean_H2Omg","greenyellow","gi"
"GO:0098772","molecular function regulator activity","2063","mean_H2Omg","greenyellow","gi"
"GO:0009607","response to biotic stimulus","1586","trt","yellow","gi"
"GO:0031347","regulation of defense response","768","trt","yellow","gi"
"GO:0050896","response to stimulus","8976","trt","yellow","gi"
"GO:0002376","immune system process","2776","Hb.","red","gi"
"GO:0009607","response to biotic stimulus","1586","Hb.","red","gi"
"GO:0140546","defense response to symbiont","1113","Hb.","red","gi"
"GO:0002682","regulation of immune system process","1512","Hb.","red","gi"
"GO:0050778","positive regulation of immune response","718","Hb.","red","gi"
"GO:0048584","positive regulation of response to stimulus","2274","Hb.","red","gi"
"GO:0042592","homeostatic process","1712","mean_H2Omg","blue","gi"
"GO:0016052","carbohydrate catabolic process","159","mean_H2Omg","blue","gi"
"GO:0006766","vitamin metabolic process","112","mean_H2Omg","blue","gi"
"GO:0009893","positive regulation of metabolic process","3711","mean_H2Omg","midnightblue","gi"
"GO:1901135","carbohydrate derivative metabolic process","1091","mean_RQ","black","gi"
"GO:0009057","macromolecule catabolic process","1338","mean_H2Omg","brown","gi"
"GO:0048514","blood vessel morphogenesis","625","mean_H2Omg","turquoise","gi"
"GO:0061061","muscle structure development","678","mean_H2Omg","turquoise","gi"
"GO:0022008","neurogenesis","1742","mean_H2Omg","turquoise","gi"
"GO:0008015","blood circulation","507","mean_H2Omg","turquoise","gi"
"GO:0009719","response to endogenous stimulus","1678","mean_H2Omg","turquoise","gi"
"GO:0050778","positive regulation of immune response","718","mean_H2Omg","greenyellow","gi"
"GO:0002449","lymphocyte mediated immunity","361","mean_H2Omg","greenyellow","gi"
"GO:0043367","CD4-positive, alpha-beta T cell differentiation","94","mean_H2Omg","greenyellow","gi"
"GO:0031349","positive regulation of defense response","471","mean_H2Omg","greenyellow","gi"
"GO:0080134","regulation of response to stress","1340","trt","yellow","gi"
"GO:0098542","defense response to other organism","1220","Hb.","red","gi"
"GO:0050776","regulation of immune response","881","Hb.","red","gi"
"GO:0045088","regulation of innate immune response","415","Hb.","red","gi"
"GO:0051607","defense response to virus","312","Hb.","red","gi"
"GO:0009617","response to bacterium","720","Hb.","red","gi"
"GO:0042824","MHC class I peptide loading complex","9","Hb.","red","gi"
"GO:0009894","regulation of catabolic process","1026","iCa","red","liv"
"GO:0031974","membrane-enclosed lumen","6657","trt","blue","liv"
"GO:0043233","organelle lumen","6657","trt","blue","liv"
"GO:0070013","intracellular organelle lumen","6657","trt","blue","liv"
"GO:0006629","lipid metabolic process","1388","TCO2","greenyellow","liv"
"GO:0008610","lipid biosynthetic process","727","TCO2","greenyellow","liv"
"GO:0006720","isoprenoid metabolic process","137","TCO2","greenyellow","liv"
"GO:0005783","endoplasmic reticulum","2055","TCO2","greenyellow","liv"
"GO:0016491","oxidoreductase activity","742","TCO2","greenyellow","liv"
"GO:0005737","cytoplasm","12345","trt","salmon","liv"
"GO:0071466","cellular response to xenobiotic stimulus","192","mean_EE","purple","liv"
"GO:0016491","oxidoreductase activity","742","mean_EE","purple","liv"
"GO:0003824","catalytic activity","5758","mean_EE","purple","liv"
"GO:0006629","lipid metabolic process","1388","trt","turquoise","liv"
"GO:0006163","purine nucleotide metabolic process","538","trt","turquoise","liv"
"GO:0051707","response to other organism","1548","Hb.","pink","liv"
"GO:0043207","response to external biotic stimulus","1551","Hb.","pink","liv"
"GO:0009605","response to external stimulus","2723","Hb.","pink","liv"
"GO:0006950","response to stress","3855","Hb.","pink","liv"
"GO:0002376","immune system process","2776","Hb.","pink","liv"
"GO:0031347","regulation of defense response","768","Hb.","pink","liv"
"GO:0050896","response to stimulus","8976","Hb.","pink","liv"
"GO:0032922","circadian regulation of gene expression","70","trt","yellow","liv"
"GO:0048511","rhythmic process","298","trt","yellow","liv"
"GO:0043153","entrainment of circadian clock by photoperiod","24","trt","yellow","liv"
"GO:0042752","regulation of circadian rhythm","113","trt","yellow","liv"
"GO:0009648","photoperiodism","27","trt","yellow","liv"
"GO:0009649","entrainment of circadian clock","29","trt","yellow","liv"
"GO:0007623","circadian rhythm","205","trt","yellow","liv"
"GO:0034654","nucleobase-containing compound biosynthetic process","4027","trt","yellow","liv"
"GO:0005737","cytoplasm","12345","trt","yellow","liv"
"GO:0044281","small molecule metabolic process","1813","sex","tan","liv"
"GO:0006163","purine nucleotide metabolic process","538","sex","tan","liv"
"GO:0009117","nucleotide metabolic process","601","sex","tan","liv"
"GO:0055086","nucleobase-containing small molecule metabolic process","677","sex","tan","liv"
"GO:0005739","mitochondrion","1689","sex","tan","liv"
"GO:0005759","mitochondrial matrix","496","sex","tan","liv"
"GO:0031966","mitochondrial membrane","782","sex","tan","liv"
"GO:0098798","mitochondrial protein-containing complex","306","sex","tan","liv"
"GO:0005743","mitochondrial inner membrane","512","sex","tan","liv"
"GO:0098800","inner mitochondrial membrane protein complex","162","sex","tan","liv"
"GO:0003824","catalytic activity","5758","sex","tan","liv"
"GO:0043065","positive regulation of apoptotic process","512","iCa","red","liv"
"GO:0016042","lipid catabolic process","344","iCa","red","liv"
"GO:0006066","alcohol metabolic process","371","TCO2","greenyellow","liv"
"GO:0016032","viral process","429","Hb.","pink","liv"
"GO:0006091","generation of precursor metabolites and energy","515","sex","tan","liv"
"GO:0031967","organelle envelope","1299","sex","tan","liv"
"GO:0044255","cellular lipid metabolic process","1005","mean_EE","greenyellow","kid"
"GO:0061045","negative regulation of wound healing","71","mean_EE","greenyellow","kid"
"GO:0012505","endomembrane system","4777","mean_EE","greenyellow","kid"
"GO:0098772","molecular function regulator activity","2063","mean_EE","greenyellow","kid"
"GO:0005740","mitochondrial envelope","831","trt","midnightblue","kid"
"GO:0051171","regulation of nitrogen compound metabolic process","5440","sex","brown","kid"
"GO:0005515","protein binding","14838","sex","brown","kid"
"GO:1901605","alpha-amino acid metabolic process","215","mean_EE","green","kid"
"GO:0008610","lipid biosynthetic process","727","mean_EE","green","kid"
"GO:0031982","vesicle","4004","mean_EE","green","kid"
"GO:0012505","endomembrane system","4777","mean_EE","green","kid"
"GO:0031966","mitochondrial membrane","782","mean_EE","green","kid"
"GO:0005773","vacuole","855","mean_EE","green","kid"
"GO:0034654","nucleobase-containing compound biosynthetic process","4027","mean_EE","lightcyan","kid"
"GO:0051641","cellular localization","3621","trt","tan","kid"
"GO:0009056","catabolic process","2556","trt","tan","kid"
"GO:0007275","multicellular organism development","4643","mean_EE","blue","kid"
"GO:0023052","signaling","6447","mean_EE","blue","kid"
"GO:0050896","response to stimulus","8976","mean_EE","blue","kid"
"GO:0022603","regulation of anatomical structure morphogenesis","838","mean_EE","blue","kid"
"GO:1903561","extracellular vesicle","2133","mean_EE","blue","kid"
"GO:0043230","extracellular organelle","2134","mean_EE","blue","kid"
"GO:0065010","extracellular membrane-bounded organelle","2134","mean_EE","blue","kid"
"GO:0042995","cell projection","2389","mean_EE","blue","kid"
"GO:0098798","mitochondrial protein-containing complex","306","trt","purple","kid"
"GO:0005739","mitochondrion","1689","trt","purple","kid"
"GO:0098800","inner mitochondrial membrane protein complex","162","trt","purple","kid"
"GO:0005743","mitochondrial inner membrane","512","trt","purple","kid"
"GO:0005737","cytoplasm","12345","trt","purple","kid"
"GO:0031966","mitochondrial membrane","782","trt","purple","kid"
"GO:0005740","mitochondrial envelope","831","trt","purple","kid"
"GO:0016125","sterol metabolic process","152","trt","yellow","kid"
"GO:0044255","cellular lipid metabolic process","1005","trt","yellow","kid"
"GO:0005783","endoplasmic reticulum","2055","trt","yellow","kid"
"GO:0003824","catalytic activity","5758","trt","yellow","kid"
"GO:0002181","cytoplasmic translation","156","trt","turquoise","kid"
"GO:0048511","rhythmic process","298","iCa","red","kid"
"GO:0032922","circadian regulation of gene expression","70","iCa","red","kid"
"GO:0043153","entrainment of circadian clock by photoperiod","24","iCa","red","kid"
"GO:0009648","photoperiodism","27","iCa","red","kid"
"GO:0009649","entrainment of circadian clock","29","iCa","red","kid"
"GO:0007623","circadian rhythm","205","iCa","red","kid"
"GO:0042752","regulation of circadian rhythm","113","iCa","red","kid"
"GO:0051171","regulation of nitrogen compound metabolic process","5440","iCa","red","kid"
"GO:0070888","E-box binding","59","iCa","red","kid"
"GO:0031981","nuclear lumen","5521","trt","pink","kid"
"GO:0043233","organelle lumen","6657","trt","pink","kid"
"GO:0031974","membrane-enclosed lumen","6657","trt","pink","kid"
"GO:0070013","intracellular organelle lumen","6657","trt","pink","kid"
"GO:0010876","lipid localization","483","mean_EE","greenyellow","kid"
"GO:0030195","negative regulation of blood coagulation","49","mean_EE","greenyellow","kid"
"GO:1903034","regulation of response to wounding","168","mean_EE","greenyellow","kid"
"GO:0140678","molecular function inhibitor activity","497","mean_EE","greenyellow","kid"
"GO:0006520","amino acid metabolic process","297","mean_EE","green","kid"
"GO:0005975","carbohydrate metabolic process","565","mean_EE","green","kid"
"GO:0070727","cellular macromolecule localization","2742","trt","tan","kid"
"GO:0001568","blood vessel development","721","mean_EE","blue","kid"
"GO:0072001","renal system development","328","mean_EE","blue","kid"
"GO:0007599","hemostasis","235","mean_EE","blue","kid"
"GO:0048512","circadian behavior","43","iCa","red","kid"
"GO:0007622","rhythmic behavior","45","iCa","red","kid"
"GO:0097167","circadian regulation of translation","4","iCa","red","kid"
